record_id,age,gender,education_level,education_mismatch,sector_of_interest,current_employment_sector,formal_informal,region,location_type,monthly_income,region_employment_rate,regional_unemployment_rate,unemployment_duration,digital_skills_level,technical_skills,training_participation,program_type,household_income,household_size,employment_outcome,intervention_effectiveness,employment_duration_post_intervention,youth_unemployment_rate,urban_rural_employment_rate
15,16,Female,TVET,FALSE,Agriculture,Agriculture,Informal,Northern,Urban,217957.75,83.52,27.41,None,Intermediate,['Coding'],FALSE,None,Low,2,TRUE,Ineffective,7,19.4,32.51
16,17,Female,University,FALSE,Agriculture,None,None,Eastern,Urban,None,55.12,28.81,None,Advanced,"['Marketing', 'Project Management']",TRUE,Business Development,High,3,FALSE,None,None,19.4,36
17,16,Female,University,FALSE,Agriculture,None,None,Southern,Urban,None,83.29,14.05,None,Advanced,[],TRUE,Business Development,Low,6,FALSE,None,None,19.4,54.38
18,18,Female,Secondary,TRUE,Construction,None,None,Kigali,Urban,None,47.13,18.62,10,Intermediate,['Data Analysis'],FALSE,None,High,5,FALSE,None,None,19.4,37.21
19,16,Male,University,FALSE,Agriculture,Agriculture,Formal,Western,Urban,144381.25,49.02,29.63,None,Basic,['Coding'],TRUE,Business Development,Low,3,TRUE,Moderately Effective,12,19.4,41.66
20,24,Male,Secondary,FALSE,Agriculture,Agriculture,Informal,Eastern,Urban,235759.45,74.85,26.15,None,Advanced,[],FALSE,None,High,8,TRUE,Effective,7,19.4,51.44
21,24,Female,Primary or Less,FALSE,ICT,None,None,Eastern,Urban,None,84.86,23.24,None,Basic,['Data Analysis'],FALSE,None,High,1,FALSE,None,None,19.4,37.74
22,19,Male,Secondary,FALSE,Healthcare,None,None,Kigali,Urban,None,81.58,16.06,None,Advanced,[],TRUE,Vocational Training,Low,1,FALSE,None,None,19.4,64.23
23,22,Male,University,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,130666.62,63.47,12.04,None,Intermediate,"['Marketing', 'Project Management']",FALSE,None,High,7,TRUE,Effective,5,19.4,55.29
24,20,Female,Primary or Less,FALSE,Healthcare,None,None,Kigali,Urban,None,89.93,22.94,None,Advanced,['Data Analysis'],FALSE,None,High,6,FALSE,None,None,19.4,72.27
25,16,Male,Secondary,FALSE,Construction,None,None,Eastern,Rural,None,49.02,29.28,None,Intermediate,['Coding'],TRUE,None,Low,1,FALSE,None,None,19.4,46.85
26,23,Male,Secondary,FALSE,Construction,Construction,Formal,Kigali,Rural,84887.83,85.05,23.48,None,Basic,['Coding'],TRUE,None,High,7,TRUE,Ineffective,6,19.4,56.1
27,21,Male,Secondary,FALSE,Education,None,None,Kigali,Urban,None,66.29,12.67,None,Intermediate,['Data Analysis'],FALSE,None,High,2,FALSE,None,None,19.4,66.93
28,17,Female,TVET,TRUE,ICT,None,None,Kigali,Urban,None,59.46,29.51,4,Intermediate,[],TRUE,Digital Skills,Low,1,FALSE,None,None,19.4,65.65
29,25,Female,Secondary,FALSE,ICT,None,None,Kigali,Urban,None,63.95,22.33,None,Basic,[],FALSE,None,Medium,4,FALSE,None,None,19.4,53.57
30,21,Male,Secondary,FALSE,Construction,None,None,Kigali,Urban,None,66.31,23.74,None,Advanced,"['Marketing', 'Project Management']",TRUE,None,Medium,5,FALSE,None,None,19.4,71.83
31,20,Female,Primary or Less,FALSE,Construction,Construction,Informal,Kigali,Urban,177668.88,70.86,12.07,None,Intermediate,[],TRUE,None,Medium,7,TRUE,Ineffective,3,19.4,61.49
32,20,Male,Primary or Less,FALSE,Healthcare,Healthcare,Formal,Kigali,Urban,262745.82,49.93,12.18,None,Intermediate,['Coding'],TRUE,Vocational Training,Medium,5,TRUE,Ineffective,3,19.4,70.87
33,25,Female,TVET,TRUE,Retail,None,None,Kigali,Urban,None,43.77,18.62,12,Intermediate,['Coding'],TRUE,Digital Skills,Low,2,FALSE,None,None,19.4,56.51
34,21,Female,Primary or Less,TRUE,ICT,None,None,Kigali,Urban,None,61.73,26.71,13,Intermediate,[],TRUE,Business Development,High,3,FALSE,None,None,19.4,50.17
35,16,Male,Secondary,FALSE,Healthcare,Healthcare,Formal,Western,Rural,93424.66,57.66,13.2,None,Intermediate,['Coding'],TRUE,Vocational Training,Low,3,TRUE,Ineffective,2,19.4,50.7
36,20,Male,TVET,TRUE,Agriculture,None,None,Kigali,Urban,None,73.84,21.8,9,Basic,['Data Analysis'],FALSE,None,High,3,FALSE,None,None,19.4,62.46
37,22,Female,Secondary,FALSE,Agriculture,Agriculture,Informal,Kigali,Urban,268924.14,81.75,29.47,None,Intermediate,['Data Analysis'],TRUE,Business Development,Medium,8,TRUE,Effective,12,19.4,56.72
38,18,Female,Secondary,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,95972.94,59.7,20.03,None,Intermediate,['Data Analysis'],FALSE,None,High,8,TRUE,Moderately Effective,3,19.4,59
39,18,Male,University,FALSE,Construction,None,None,Kigali,Rural,None,55,12.98,4,Basic,['Coding'],FALSE,None,High,7,FALSE,None,None,19.4,47.59
40,16,Male,University,FALSE,Education,None,None,Kigali,Urban,None,83.49,23.67,None,Basic,"['Marketing', 'Project Management']",TRUE,Digital Skills,High,3,FALSE,None,None,19.4,75.15
41,22,Female,TVET,FALSE,Healthcare,Healthcare,Formal,Kigali,Urban,66346.61,78.75,17.22,None,Basic,"['Marketing', 'Project Management']",FALSE,None,High,3,TRUE,Effective,12,19.4,68.16
42,21,Female,University,FALSE,ICT,ICT,Informal,Kigali,Urban,186289.4,46.89,21.55,None,Intermediate,[],TRUE,Digital Skills,Low,5,TRUE,Ineffective,8,19.4,70.62
43,25,Female,University,FALSE,Construction,Construction,Informal,Kigali,Urban,217023.77,47.25,22.07,None,Basic,[],TRUE,None,Medium,3,TRUE,Ineffective,12,19.4,64.91
44,23,Male,Primary or Less,TRUE,ICT,None,None,Kigali,Urban,None,75.61,24.03,18,Intermediate,"['Marketing', 'Project Management']",FALSE,None,High,4,FALSE,None,None,19.4,78.86
45,20,Male,Secondary,FALSE,Education,Education,Formal,Eastern,Rural,198105.94,60.09,15.32,None,Basic,[],FALSE,None,High,6,TRUE,Moderately Effective,6,19.4,33.56
46,25,Male,TVET,FALSE,Healthcare,Healthcare,Formal,Kigali,Urban,203938.32,70.01,13.6,None,Basic,['Data Analysis'],TRUE,Business Development,Low,1,TRUE,Effective,7,19.4,53.44
47,25,Female,Primary or Less,TRUE,Construction,None,None,Kigali,Urban,None,59.05,16,7,Advanced,['Data Analysis'],FALSE,None,Medium,6,FALSE,None,None,19.4,77.39
48,23,Male,University,FALSE,Education,Education,Informal,Kigali,Urban,157896.23,64.93,11.43,None,Intermediate,"['Marketing', 'Project Management']",TRUE,Digital Skills,Medium,3,TRUE,Effective,9,19.4,74.27
49,24,Male,Secondary,FALSE,ICT,ICT,Formal,Western,Rural,110654.53,87.21,21.03,None,Advanced,[],FALSE,None,Low,6,TRUE,Moderately Effective,3,19.4,32.13
50,16,Male,University,FALSE,Healthcare,None,None,Kigali,Urban,None,45.25,24.35,9,Intermediate,"['Marketing', 'Project Management']",FALSE,None,High,5,FALSE,None,None,19.4,57.79
51,20,Female,TVET,FALSE,ICT,ICT,Informal,Kigali,Urban,218202.95,70.09,22.96,None,Basic,['Coding'],TRUE,Digital Skills,High,2,TRUE,Effective,1,19.4,64.68
52,21,Male,TVET,FALSE,Healthcare,None,None,Kigali,Rural,None,69.47,28.05,None,Basic,[],TRUE,Digital Skills,High,5,FALSE,None,None,19.4,51.78
53,24,Female,University,FALSE,ICT,ICT,Formal,Kigali,Urban,129510.63,63.69,21.09,None,Intermediate,['Coding'],FALSE,None,Low,3,TRUE,Ineffective,1,19.4,77.96
54,20,Male,Primary or Less,TRUE,Agriculture,None,None,Kigali,Urban,None,67.35,29.98,19,Intermediate,['Data Analysis'],TRUE,Digital Skills,Low,8,FALSE,None,None,19.4,52.46
55,19,Female,TVET,TRUE,ICT,None,None,Kigali,Urban,None,40.19,25.46,2,Intermediate,['Data Analysis'],FALSE,None,Medium,4,FALSE,None,None,19.4,54.72
56,18,Male,Secondary,TRUE,Retail,None,None,Kigali,Urban,None,55.74,27.27,3,Basic,['Data Analysis'],FALSE,None,High,5,FALSE,None,None,19.4,54.02
57,23,Female,TVET,TRUE,Agriculture,None,None,Kigali,Urban,None,87.78,29.09,21,Basic,[],TRUE,Business Development,Medium,6,FALSE,None,None,19.4,63.64
58,19,Female,Secondary,TRUE,Healthcare,None,None,Kigali,Rural,None,79.13,21.18,11,Intermediate,[],FALSE,None,Medium,6,FALSE,None,None,19.4,57.98
59,25,Female,University,FALSE,ICT,None,None,Kigali,Urban,None,79.84,10.34,None,Basic,"['Marketing', 'Project Management']",FALSE,None,Low,4,FALSE,None,None,19.4,57.2
60,17,Female,Secondary,FALSE,ICT,ICT,Informal,Kigali,Urban,162479.23,74.54,19.2,None,Basic,['Coding'],FALSE,None,Medium,1,TRUE,Ineffective,12,19.4,62.11
61,18,Male,Primary or Less,FALSE,ICT,ICT,Informal,Northern,Rural,149951.67,87.95,27.57,None,Basic,[],TRUE,None,High,2,TRUE,Moderately Effective,4,19.4,40.99
62,17,Female,Secondary,FALSE,Agriculture,Agriculture,Informal,Kigali,Urban,119946.7,56.58,16.25,None,Intermediate,['Coding'],TRUE,Vocational Training,High,5,TRUE,Moderately Effective,12,19.4,69.05
63,24,Female,TVET,FALSE,Agriculture,None,None,Western,Rural,None,53.56,15.43,None,Intermediate,['Coding'],TRUE,Vocational Training,Low,1,FALSE,None,None,19.4,47.76
64,25,Male,University,FALSE,Retail,Retail,Informal,Kigali,Urban,214708.53,66.98,21.12,None,Basic,['Data Analysis'],TRUE,Business Development,Low,2,TRUE,Ineffective,3,19.4,74.95
65,24,Female,Secondary,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,299918.88,83.44,25.67,None,Intermediate,['Data Analysis'],FALSE,None,High,2,TRUE,Effective,1,19.4,56.05
66,17,Male,TVET,TRUE,Healthcare,None,None,Kigali,Urban,None,77.25,19.14,8,Basic,[],TRUE,Digital Skills,Low,2,FALSE,None,None,19.4,75.72
67,20,Male,Primary or Less,FALSE,Healthcare,None,None,Kigali,Rural,None,44.1,27.96,None,Basic,['Data Analysis'],TRUE,Vocational Training,High,3,FALSE,None,None,19.4,32.49
68,16,Male,Primary or Less,FALSE,ICT,ICT,Informal,Kigali,Urban,50534.24,52.95,19.46,None,Basic,"['Marketing', 'Project Management']",FALSE,None,High,6,TRUE,Effective,5,19.4,71.84
69,17,Female,University,FALSE,Healthcare,None,None,Kigali,Urban,None,87.99,19.98,11,Intermediate,[],TRUE,Vocational Training,Medium,3,FALSE,None,None,19.4,54.27
70,23,Female,Primary or Less,TRUE,Education,None,None,Kigali,Rural,None,76.36,22.39,1,Advanced,['Data Analysis'],FALSE,None,Medium,4,FALSE,None,None,19.4,43.33
71,19,Male,TVET,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,89155.54,57.27,18.16,None,Intermediate,"['Marketing', 'Project Management']",TRUE,None,Medium,6,TRUE,Moderately Effective,9,19.4,60.05
72,17,Male,Primary or Less,FALSE,Retail,Retail,Formal,Kigali,Urban,185033.53,73.05,21.91,None,Intermediate,"['Marketing', 'Project Management']",TRUE,Vocational Training,High,5,TRUE,Ineffective,3,19.4,78.3
73,25,Female,University,FALSE,ICT,None,None,Eastern,Rural,None,55.98,26.43,None,Basic,['Data Analysis'],TRUE,Business Development,Low,8,FALSE,None,None,19.4,44.15
74,21,Male,Primary or Less,FALSE,Education,Education,Formal,Kigali,Urban,142059.64,83.73,24.57,None,Advanced,[],TRUE,Business Development,High,6,TRUE,Effective,11,19.4,70.25
75,24,Female,Primary or Less,TRUE,ICT,None,None,Kigali,Urban,None,88.93,12.5,7,Intermediate,['Data Analysis'],TRUE,Digital Skills,Medium,2,FALSE,None,None,19.4,57.95
76,19,Female,University,FALSE,Healthcare,None,None,Southern,Rural,None,68.46,11.01,None,Advanced,['Data Analysis'],FALSE,None,Medium,5,FALSE,None,None,19.4,54.5
77,24,Male,Primary or Less,TRUE,Healthcare,None,None,Kigali,Urban,None,84.89,28.96,3,Basic,['Data Analysis'],FALSE,None,High,7,FALSE,None,None,19.4,70.06
78,19,Male,TVET,FALSE,Retail,Retail,Formal,Kigali,Urban,144032.15,83.12,29.07,None,Basic,['Data Analysis'],TRUE,Digital Skills,High,2,TRUE,Ineffective,4,19.4,75.01
79,20,Female,Secondary,FALSE,ICT,ICT,Informal,Kigali,Urban,252158.45,65.09,18.6,None,Intermediate,"['Marketing', 'Project Management']",TRUE,Vocational Training,Medium,6,TRUE,Ineffective,6,19.4,67.85
80,24,Male,TVET,FALSE,Education,None,None,Kigali,Urban,None,63.78,24.01,None,Intermediate,['Data Analysis'],TRUE,Vocational Training,Low,3,FALSE,None,None,19.4,65.02
81,22,Female,University,FALSE,Healthcare,Healthcare,Informal,Kigali,Urban,108289.93,65.72,28.64,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,Low,1,TRUE,Moderately Effective,11,19.4,50.23
82,20,Female,Primary or Less,FALSE,Construction,None,None,Kigali,Urban,None,71.06,21.24,None,Basic,['Data Analysis'],FALSE,None,Medium,8,FALSE,None,None,19.4,61.23
83,19,Female,University,FALSE,Education,None,None,Kigali,Urban,None,54.59,10.71,23,Intermediate,['Coding'],TRUE,Business Development,Medium,4,FALSE,None,None,19.4,74.31
84,25,Female,Secondary,FALSE,Agriculture,Agriculture,Formal,Eastern,Rural,261115.02,49.75,18.37,None,Intermediate,"['Marketing', 'Project Management']",TRUE,Business Development,Medium,5,TRUE,Effective,12,19.4,39.47
85,22,Male,Primary or Less,FALSE,Healthcare,Healthcare,Informal,Kigali,Urban,109845.88,50.28,22.37,None,Intermediate,"['Marketing', 'Project Management']",FALSE,None,High,7,TRUE,Effective,9,19.4,63.39
86,25,Female,TVET,FALSE,ICT,ICT,Informal,Kigali,Urban,99176.48,67.09,22.56,None,Advanced,['Data Analysis'],FALSE,None,High,6,TRUE,Moderately Effective,2,19.4,67.73
87,16,Female,University,FALSE,Construction,None,None,Kigali,Urban,None,87.58,12.17,11,Basic,['Coding'],FALSE,None,Low,1,FALSE,None,None,19.4,53.41
88,18,Female,Primary or Less,TRUE,Education,None,None,Kigali,Urban,None,74.85,12.34,15,Intermediate,['Data Analysis'],FALSE,None,High,4,FALSE,None,None,19.4,53.99
89,23,Female,Primary or Less,FALSE,Education,None,None,Southern,Rural,None,51.46,18.04,None,Advanced,"['Marketing', 'Project Management']",TRUE,Vocational Training,High,7,FALSE,None,None,19.4,44.03
90,17,Female,University,FALSE,Education,None,None,Kigali,Urban,None,88.06,23.11,None,Advanced,['Coding'],FALSE,None,Low,5,FALSE,None,None,19.4,76.87
91,23,Male,TVET,FALSE,Construction,Construction,Formal,Kigali,Urban,206375.16,76.64,25.76,None,Intermediate,"['Marketing', 'Project Management']",TRUE,Digital Skills,High,6,TRUE,Effective,9,19.4,62.96
92,24,Male,University,FALSE,Agriculture,Agriculture,Informal,Kigali,Urban,176325.05,76.45,17.29,None,Advanced,['Data Analysis'],FALSE,None,Low,8,TRUE,Ineffective,10,19.4,52.9
93,20,Female,TVET,FALSE,Agriculture,None,None,Kigali,Urban,None,49.35,23.41,None,Basic,['Data Analysis'],TRUE,Vocational Training,Low,8,FALSE,None,None,19.4,77.83
94,19,Female,Primary or Less,TRUE,Healthcare,None,None,Kigali,Urban,None,56.99,26.89,5,Advanced,[],TRUE,None,Medium,7,FALSE,None,None,19.4,62.58
95,23,Male,University,FALSE,Construction,Construction,Informal,Kigali,Urban,85898.03,82.05,15.7,None,Basic,['Data Analysis'],FALSE,None,Low,2,TRUE,Effective,6,19.4,58.26
96,20,Male,University,FALSE,ICT,None,None,Kigali,Urban,None,87.71,10.31,17,Basic,[],TRUE,None,Low,3,FALSE,None,None,19.4,65.91
97,23,Male,University,FALSE,Retail,None,None,Kigali,Urban,None,42.3,17.64,None,Basic,[],TRUE,Business Development,Low,4,FALSE,None,None,19.4,69.53
98,20,Male,TVET,TRUE,Retail,None,None,Kigali,Urban,None,57.28,18.9,5,Basic,"['Marketing', 'Project Management']",TRUE,Vocational Training,High,6,FALSE,None,None,19.4,59.15
99,17,Female,University,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,225597.82,45.1,27.39,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,High,2,TRUE,Moderately Effective,7,19.4,57.74
100,19,Female,Secondary,FALSE,Retail,None,None,Kigali,Urban,None,77.21,29.81,None,Basic,['Data Analysis'],FALSE,None,Low,8,FALSE,None,None,19.4,58.92
101,21,Male,Secondary,FALSE,Education,Education,Formal,Kigali,Urban,240196.22,86.49,23.12,None,Intermediate,['Coding'],TRUE,Vocational Training,Low,5,TRUE,Ineffective,4,19.4,67.87
102,24,Male,University,FALSE,ICT,ICT,Formal,Kigali,Urban,270926.42,62.34,21.07,None,Basic,[],FALSE,None,Medium,6,TRUE,Effective,4,19.4,62.89
103,20,Male,Secondary,FALSE,Education,Education,Informal,Kigali,Urban,173285.91,53.65,20.18,None,Intermediate,['Coding'],FALSE,None,Medium,6,TRUE,Effective,1,19.4,69.73
104,22,Male,University,FALSE,Retail,Retail,Formal,Western,Rural,169754.23,43.72,26.71,None,Advanced,['Coding'],TRUE,Digital Skills,High,8,TRUE,Effective,7,19.4,41.14
105,25,Male,University,FALSE,Construction,None,None,Kigali,Urban,None,68.77,13.43,None,Intermediate,"['Marketing', 'Project Management']",TRUE,Vocational Training,Low,8,FALSE,None,None,19.4,76.66
106,19,Male,TVET,FALSE,Education,None,None,Kigali,Urban,None,42.27,21.85,None,Advanced,['Coding'],FALSE,None,Medium,3,FALSE,None,None,19.4,75.55
107,19,Male,TVET,TRUE,Construction,None,None,Western,Rural,None,68.32,29.83,6,Basic,['Data Analysis'],FALSE,None,Medium,3,FALSE,None,None,19.4,49.71
108,20,Female,TVET,FALSE,Education,None,None,Kigali,Urban,None,74.95,14.32,None,Advanced,[],FALSE,None,High,3,FALSE,None,None,19.4,61.1
109,18,Female,TVET,FALSE,Construction,Construction,Formal,Kigali,Urban,189907.79,70.1,27.97,None,Basic,['Coding'],FALSE,None,Medium,3,TRUE,Effective,9,19.4,54.97
110,24,Female,Primary or Less,FALSE,Education,Education,Informal,Eastern,Rural,71690.45,52.04,10.23,None,Advanced,"['Marketing', 'Project Management']",TRUE,Business Development,High,8,TRUE,Effective,9,19.4,55.66
111,22,Male,Primary or Less,FALSE,Construction,Construction,Informal,Kigali,Urban,178277.73,79.69,11.57,None,Advanced,"['Marketing', 'Project Management']",TRUE,None,Low,1,TRUE,Moderately Effective,7,19.4,75.18
112,25,Male,Secondary,FALSE,ICT,None,None,Kigali,Urban,None,74.71,17.39,None,Basic,['Coding'],FALSE,None,Medium,8,FALSE,None,None,19.4,70.3
113,21,Female,Primary or Less,FALSE,Education,Education,Informal,Kigali,Urban,73354.29,80.83,25.51,None,Basic,"['Marketing', 'Project Management']",TRUE,Vocational Training,Low,3,TRUE,Ineffective,6,19.4,78.16
114,25,Female,TVET,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,231763.51,62.33,22.86,None,Basic,"['Marketing', 'Project Management']",FALSE,None,Medium,4,TRUE,Effective,8,19.4,66.77
115,23,Female,Primary or Less,TRUE,Education,None,None,Kigali,Urban,None,86.78,17.08,19,Basic,['Data Analysis'],TRUE,Vocational Training,Medium,6,FALSE,None,None,19.4,53.25
116,16,Male,Primary or Less,FALSE,Education,Education,Informal,Kigali,Urban,221871.07,64.65,10.62,None,Intermediate,['Coding'],TRUE,None,High,2,TRUE,Effective,3,19.4,52.08
117,21,Male,University,FALSE,Retail,Retail,Formal,Kigali,Urban,62098.42,43.43,21.14,None,Intermediate,"['Marketing', 'Project Management']",TRUE,Vocational Training,High,4,TRUE,Moderately Effective,10,19.4,52.45
118,19,Female,University,FALSE,ICT,ICT,Formal,Kigali,Urban,205516.47,58.29,22.57,None,Advanced,['Coding'],FALSE,None,High,8,TRUE,Moderately Effective,4,19.4,54.38
119,17,Male,Primary or Less,FALSE,ICT,None,None,Kigali,Urban,None,60.78,27.72,None,Advanced,[],FALSE,None,Low,1,FALSE,None,None,19.4,56.66
120,20,Male,TVET,FALSE,ICT,ICT,Informal,Kigali,Urban,154612.04,58.49,28.39,None,Basic,['Coding'],FALSE,None,Medium,1,TRUE,Effective,4,19.4,78.23
121,23,Male,Primary or Less,TRUE,ICT,None,None,Eastern,Rural,None,82.52,21.74,3,Intermediate,"['Marketing', 'Project Management']",FALSE,None,High,1,FALSE,None,None,19.4,51.86
122,17,Female,Secondary,FALSE,Healthcare,Healthcare,Informal,Eastern,Rural,252491.69,87.89,11.7,None,Advanced,['Coding'],FALSE,None,High,7,TRUE,Ineffective,8,19.4,39.63
123,20,Female,Secondary,FALSE,Healthcare,Healthcare,Formal,Kigali,Urban,87368.41,68.93,29.48,None,Advanced,['Data Analysis'],FALSE,None,Medium,8,TRUE,Ineffective,6,19.4,65.6
124,18,Female,TVET,FALSE,ICT,ICT,Formal,Western,Rural,169908.89,67.41,14.45,None,Advanced,['Coding'],FALSE,None,Low,4,TRUE,Effective,4,19.4,55.74
125,18,Female,Secondary,FALSE,Education,Education,Formal,Kigali,Urban,243755.18,80.45,21.39,None,Basic,['Coding'],FALSE,None,Low,4,TRUE,Ineffective,4,19.4,72.73
126,16,Female,TVET,FALSE,Construction,Construction,Informal,Kigali,Rural,156389.77,67.34,28.08,None,Basic,['Coding'],FALSE,None,Low,2,TRUE,Moderately Effective,6,19.4,39.54
127,20,Male,Primary or Less,FALSE,Agriculture,Agriculture,Informal,Kigali,Urban,184286.89,57.87,26.72,None,Intermediate,['Coding'],FALSE,None,High,2,TRUE,Moderately Effective,2,19.4,71.82
128,20,Female,University,FALSE,Retail,Retail,Informal,Kigali,Urban,134431.15,85.81,29.04,None,Advanced,[],TRUE,Vocational Training,High,5,TRUE,Ineffective,2,19.4,73.02
129,20,Male,University,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,108807.79,65.83,23.03,None,Intermediate,['Data Analysis'],FALSE,None,Medium,4,TRUE,Effective,5,19.4,62.01
130,25,Female,TVET,FALSE,Construction,Construction,Formal,Kigali,Rural,150378.72,43.27,17,None,Basic,[],TRUE,Business Development,Low,5,TRUE,Effective,11,19.4,40.94
131,23,Female,University,FALSE,ICT,ICT,Formal,Kigali,Urban,76956.87,81.65,22.82,None,Basic,['Coding'],FALSE,None,High,5,TRUE,Moderately Effective,10,19.4,69.52
132,20,Female,TVET,FALSE,Healthcare,Healthcare,Informal,Kigali,Urban,80647.32,48.66,23.21,None,Intermediate,['Coding'],TRUE,None,Low,2,TRUE,Moderately Effective,11,19.4,56.26
133,23,Female,University,FALSE,Retail,None,None,Kigali,Urban,None,87.48,29.78,None,Basic,['Coding'],FALSE,None,Medium,8,FALSE,None,None,19.4,68.33
134,23,Female,Primary or Less,TRUE,ICT,None,None,Kigali,Urban,None,61.53,13.9,6,Advanced,"['Marketing', 'Project Management']",TRUE,None,Low,3,FALSE,None,None,19.4,74.41
135,20,Female,TVET,FALSE,Retail,None,None,Kigali,Urban,None,70.7,28.49,None,Basic,[],FALSE,None,Medium,3,FALSE,None,None,19.4,60.95
136,19,Female,University,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,51584.79,86.86,27.05,None,Intermediate,['Data Analysis'],TRUE,Business Development,High,6,TRUE,Ineffective,2,19.4,62.25
137,23,Male,TVET,FALSE,Retail,Retail,Informal,Kigali,Urban,168234.77,62.54,21.63,None,Basic,['Coding'],FALSE,None,Low,1,TRUE,Ineffective,8,19.4,77.05
138,19,Male,University,FALSE,ICT,ICT,Informal,Kigali,Urban,229439.59,65.4,10.62,None,Intermediate,"['Marketing', 'Project Management']",TRUE,None,High,1,TRUE,Moderately Effective,1,19.4,64.64
139,24,Female,Secondary,TRUE,Education,None,None,Kigali,Urban,None,85.11,28.91,10,Advanced,[],FALSE,None,Medium,1,FALSE,None,None,19.4,77.29
140,19,Female,Secondary,FALSE,Agriculture,Agriculture,Formal,Kigali,Urban,64826.29,40.72,21.78,None,Basic,"['Marketing', 'Project Management']",TRUE,None,Low,8,TRUE,Effective,7,19.4,52.71
141,19,Male,TVET,FALSE,Retail,Retail,Informal,Kigali,Urban,205112.43,63.35,24.2,None,Advanced,['Data Analysis'],TRUE,Digital Skills,High,4,TRUE,Moderately Effective,9,19.4,77.45
142,24,Male,University,FALSE,Construction,Construction,Formal,Kigali,Urban,200438.43,66.92,20.98,None,Advanced,[],TRUE,None,Low,3,TRUE,Effective,12,19.4,57.69
